Symbol,Description
DRVN,Driven Brands Holdings Inc
DSGN,Design Therapeutics Inc
DSGR,Distribution Solutions Group Inc
DSGX,Descartes Sys Group
DSP,Viant Technology Inc
DSWL,Deswell Inds Inc
DSY,Big Tree Cloud Holdings Limited
DSYWW,Big Tree Cloud Holdings WT
DTCK,Davis Commodities Limited
DTI,Drilling Tools International Corp
DTIL,Precision Biosciences Inc
DTSQ,Dt Cloud Star Acquisition Corp
DTSQR,Dt Cloud Star Acquisition Right
DTSQU,Dt Cloud Star Acquisition Corporation Units
DTSS,Datasea Inc
DTST,Data Storage Corp
DTSTW,Data Storage Corp WT
DUET,Duet Acquisition Corp Cl A
DUETW,Duet Acquisition Corp WT
DUO,Fangdd Network Group Ltd ADR
DUOL,Duolingo Inc Cl A
DUOT,Duos Technologies Group Inc
DVAX,Dynavax Technologies
DWSN,Dawson Geophscl
DWTX,Dogwood Therapeutics Inc
DXCM,Dexcom Inc
DXJS,Wisdomtree Japan Hedged Smallcap Equity Fund
DXLG,Destination XL Group
DXPE,Dxp Enterprise
DXR,Daxor Corp
DYAI,Dyadic International
DYCQ,Dt Cloud Acquisition Corp
DYCQR,Dt Cloud Acquisition Corporation Right
DYCQU,Dt Cloud Acquisition Corp
DYN,Dyne Therapeutics Inc
DYNXU,Dynamix Corp
EA,Electronic Arts Inc
EAST,Eastside Distilling Inc
EBAY,Ebay Inc
EBC,Eastern Bankshares Inc
EBMT,Eagle Bancorp [Mt]
EBON,Ebang International Holdings Cl A
EBTC,Enterprise Bancorp
ECBK,ECB Bancorp Inc
ECDA,Ecd Automotive Design Inc
ECDAW,Ecd Automotive Design Inc WT
ECOR,Electrocore Inc
ECPG,Encore Capital Group
ECX,Ecarx Holdings Inc Cl A
ECXWW,Ecarx Holdings Inc WT
EDAP,Edap Tms Sa ADR
EDBL,Edible Garden Ag Inc
EDBLW,Edible Garden Ag Inc WT
EDIT,Editas Medicine
EDRY,Eurodry Ltd
EDSA,Edesa Biotech Inc
EDTK,Skillful Craftsman Education Technology Ltd
EDUC,Educational Dev Corp
EEFT,Euronet Worldwide
EEIQ,Epicquest Education Group Intl Ltd
EFOI,Energy Focus Inc
EFSC,Enterprises Finl Svc
EFSCP,Enterprise Financial Services Corp ADR
EGAN,Egain Corp
EGBN,Eagle Bancorp Inc
EGHT,8X8 Inc
EH,Ehang Holdings Ltd ADR
EHGO,Eshallgo Inc Cl A
EHTH,Ehealth Inc
EJH,E-Home Household Service Holdings Ltd
EKSO,Ekso Bionics Holdings Inc
ELAB,Elevai Labs Inc
ELBM,Electra Battery Materials Corp
ELDN,Eledon Pharmaceuticals Inc
ELEV,Elevation Oncology Inc
ELPW,Elong Power Holding Limited
ELSE,Electro Sensors IN
ELTK,Eltek Ltd
ELTX,Elicio Therapeutics Inc
ELUT,Elutia Inc
ELVA,Electrovaya Inc
ELVN,Enliven Therapeutics Inc
ELWS,Earlyworks Ltd ADR
EM,Smart Share Global Ltd ADR
EMBC,Embecta Corp
EMCB,Wisdomtree Emerging Markets Corporate Bond Fund
EMCG,Embrace Change Acquisition Corp
EMCGR,Embrace Change Acquisition Corp Rights
EMCGU,Embrace Change Acquisition Corp Units
EMCGW,Embrace Change Acquisition Corp Warrants
EMKR,Emcore Corp
EML,Eastern Company
ENG,Englobal Corp
ENGN,Engene Holdings Inc
ENGNW,Engene Holdings WT
ENLT,Enlight Renewable Energy Ltd
ENLV,Enlivex Therapeutics Ltd
ENPH,Enphase Energy Inc
ENSC,Ensysce Biosciences Inc
ENSG,The Ensign Group IN
ENTA,Enanta Pharmaceutica
ENTG,Entegris Inc
ENTO,Entero Therapeutics Inc
ENTX,Entera Bio Ltd
ENVB,Enveric Biosciences Inc
ENVX,Enovix Corp
EOLS,Evolus Inc
EOSE,Eos Energy Enterprises Inc
EOSEW,Eos Energy Enterprises Inc WT
EPIX,Essa Pharma
EPOW,Sunrise New Energy Ltd
EPRX,Eupraxia Pharmaceuticals Inc
EPSN,Epsilon Energy
EQ,Equillium Inc
EQIX,Equinix Inc
ERAS,Erasca Inc
ERIC,Ericsson ADR
ERIE,Erie Indemnity Company
ERII,Energy Recovery Inc
ERNA,Eterna Therapeutics Inc
ESCA,Escalade Inc
ESEA,Euroseas Ltd
ESGL,Esgl Holdings Limited Cl A
ESGLW,Esgl Holdings Limited WT
ESGR,Enstar Group Ltd
ESGRO,Enstar Group Ltd
ESGRP,Enstar Group Ltd
ESHA,Esh Acquisition Corp. Cl A
ESHAR,Esh Acquisition Corp. Right
ESLA,Estrella Immunopharma Inc
ESLAW,Estrella Immunopharma Inc WT
ESLT,Elbit Systems Ltd
ESOA,Energy Services Acquisition Corp
ESPR,Esperion Theraptc
ESQ,Esquire Financial Holdings Inc
ESSA,Essa Bancorp Inc
ESTA,Establishment Labs Holdings Inc
ETNB,89Bio Inc
ETON,Eton Pharmaceutcials Inc
ETSY,Etsy Inc
EU,Encore Energy Corp
EUDA,Euda Health Holdings Ltd
EUDAW,Euda Health Holdings Ltd WT
EURK,Eureka Acquisition Corp Cl A
EURKR,Eureka Acquisition Corp Right
EURKU,Eureka Acquisition Corp
EVAX,Evaxion Biotech A/S ADR
EVCM,Evercommerce Inc
EVER,Everquote Inc Cl A
EVGN,Evogene Ltd Ord
EVGO,Evgo Inc
EVGOW,Evgo Inc WT
EVGR,Evergreen Corp Cl A
EVGRU,Evergreen Corp
EVGRW,Evergreen Corp WT
EVLV,Evolv Technologies Hldgs Inc
EVLVW,Evolv Technologies Hldgs Inc WT
EVMT,Invesco Electric Vehicle Metals Commodity Strate
EVO,Evotec Se
EVOK,Evoke Pharma
EVRG,Evergy Inc
EVTV,Envirotech Vehicles Inc
EWBC,East West Bancorp
EWCZ,European Wax Center Cl A
EWTX,Edgewise Therapeutics Inc
EXAI,Exscientia Ltd ADR
EXAS,Exact Sciences Cor
EXC,Exelon Corp
EXE,Expand Energy Corporation
EXEEL,Expand Energy Corporation Cl C WT
EXEEW,Expand Energy Corporation Cl A WT
EXEEZ,Expand Energy Corporation Cl B WT
EXEL,Exelixis Inc
EXFY,Expensify Inc Cl A
EXLS,Exlservice Holdings
EXPE,Expedia Group Inc
EXPI,eXp World Holdings Inc
EXPO,Exponent Inc
EXTR,Extreme Networks
EYE,National Vision Holdings Inc
EYEN,Eyenovia Inc
EYPT,Eyepoint Pharmaceuticals Inc
EZFL,Ezfill Holdings Inc
EZGO,Ezgo Technologies Ltd
EZPW,Ezcorp Inc
FA,First Advantage Corp
FAAS,Digiasia Corp
FAASW,Digiasia Corp WT
FAB,Multicap Value Alphadex Fund FT
FAD,Multicap Growth Alphadex Fund FT
FAMI,Farmmi Inc
FANG,Diamondback Energy
FARM,Farmer Brothers
FARO,Faro Tech Inc
FAST,Fastenal Company
FAT,Fat Brands Inc
FATBB,Fat Brands Inc Cl B
FATBP,Fat Brands Inc 8.25% Series B
FATBW,Fat Brands Inc WT
FATE,Fate Therapeutics
FBIO,Fortress Biotech Inc
FBIOP,Fortress Biotech Inc 9.375% Series A Cumulativ
FBIZ,First Business Finan
FBLA,Fb Bancorp Inc
FBLG,Fibrobiologics Inc
FBNC,First Bancorp [Nc]
FBRX,Forte Biosciences Inc
FBYD,Falcon's Beyond Global Cl A
FBYDW,Falcon's Beyond Global WT
FBZ,Brazil Alphadex Fund FT
FCA,China Alphadex Fund FT
FCAP,First Capital Inc
FCBC,First Community Bksh
FCCO,First Community Corp
FCEL,Fuelcell Energy Inc
FCFS,Firstcash Holdings Inc
FCNCA,First Citizens Bancs
FCNCO,First Citizens Bancshares Inc 5.625% Non-Cumula
FCNCP,First Citizens Bancshares
FCUV,Focus Universal Inc
FDBC,Fidelity D & D Bancorp Inc
FDMT,4D Molecular Therapeutics Inc
FDSB,Fifth District Bancorp Inc
FDT,Dev Mkts Ex-US Alphadex Fund FT
FDTS,Dev Mkts Ex-US Small Cap Alphadex Fund FT
FDUS,Fidus Investment Cor
FEAM,5E Advanced Materials Inc
FEBO,Fenbo Holdings Limited
FEIM,Frequency Elcts Inc
FELE,Franklin Electric Company
FEM,Emrg Mkts Alphadex Fund FT
FEMS,Emrg Mkts Small Cap Alphadex Fund FT
FEMY,Femasys Inc
FENC,Fennec Pharmaceuticals Inc
FEP,Europe Alphadex Fund FT
FER,Ferrovial Se
FEUZ,Eurozone Alphadex Fund FT
FEX,Largecap Core Alphadex Fund FT
FFBC,First Finl Bncp [Oh]
FFIC,Flushing Finl Corp
FFIE,Faraday Future Intelligent Electric Inc
FFIEW,Faraday Future Intelligent Electric Inc WT
FFIN,First Finl Bkshs Inc
FFIV,F5 Inc
FFNW,First Financial Nort
FGBI,First Gurty Banc
FGBIP,First Guaranty Bancshares [Hammond La]
FGEN,Fibrogen Inc CS
FGF,Fundamental Global Inc
FGFPP,Fg Financial Group Inc Pfd
FGI,Fgi Industries Ltd
FGIWW,Fgi Industries Ltd WT
FGL,Founder Group Limited
FGM,Germany Alphadex Fund FT
FHB,First Hawaiian Inc
FHTX,Foghorn Therapeutics Inc
FIAC,Focus Impact Acquisition Corp Cl A
FIBK,First Interstate Ban
FINW,Finwise Bancorp
FIP,Ftai Infrastructure Inc
FISI,Financial Institut
FITB,Fifth Third Bancorp
FITBI,Fifth Third Bancorp
FITBO,Fifth Third Bancorp
FITBP,Fifth Third Bancorp
FIVE,Five Below Inc
FIVN,Five9 Inc
FIZZ,Natl Beverage Corp
FJP,Japan Alphadex Fund FT
FKU,UK Alphadex Fund FT
FKWL,Franklin Wireless Co.
FLD,Ftac Emerald Acquisition Corp Cl A
FLDDU,Ftac Emerald Acquisition Corp
FLDDW,Ftac Emerald Acquisition Corp WT
FLEX,Flextronics Intl Ltd
