Symbol,Description
AADR,Advisorshares Dorsey Wright ETF
AAPB,Graniteshares 2X Long Aapl Daily ETF
AAPD,Aapl Bear -1X ETF Direxion
AAPU,Aapl Bull 2X ETF Direxion
AAXJ,All Country Asia Ex Japan Ishares MSCI ETF
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
ACWI,ACWI Ishares MSCI ETF
ACWX,ACWI Ex US Ishares MSCI ETF
AGMI,Themes Silver Miners ETF
AGNG,GX Aging Population ETF
AIA,Asia 50 Ishares ETF
AIPI,Rex Ai Equity Premium Income ETF
AIQ,GX Artificial Intelligence & Tech ETF
AIRL,Themes Airlines ETF
AIRR,Rba American Industrial Renaissance ETF FT
ALTY,GX Superdividend Alternatives ETF
AMDL,Graniteshares 2X Long Amd Daily ETF
AMDS,Graniteshares 1X Short Amd Daily ETF
AMID,Argent Mid Cap ETF
AMZD,Amzn Bear -1X ETF Direxion
AMZU,Amzn Bull 2X ETF Direxion
AMZZ,Graniteshares 2X Long Amzn Daily ETF
ANGL,Vaneck Fallen Angel High Yield Bond ETF
AOTG,Aot Growth and Innovation ETF
AQWA,GX Clean Water ETF
ARVR,FT Indxx Metaverse ETF
AUMI,Themes Gold Miners ETF
AVGX,Defiance Daily Target 2X Long Avgo ETF
AVL,Avgo Bull 2X ETF Direxion
AVS,Avgo Bear -1X ETF Direxion
AVXC,Avantis Emerging Markets Ex-China Equity ETF
BABX,Graniteshares 2X Long Baba Daily ETF
BAFE,Brown Advisory Flexible Equity ETF
BBH,Vaneck Biotech ETF
BDGS,Bridges Capital Tactical ETF
BEEZ,Honeytree U.S. Equity ETF
BELT,Blackrock Long-Term U.S. Equity ETF
BGRN,Ishares Global Green Bond ETF
BGRO,Blackrock Large Cap Growth ETF
BIB,Ultra Nasdaq Biotechnology 2X ETF
BIS,Ultrashort Nasdaq Biotechnology -2X ETF
BITS,GX Blockchain & Bitcoin Strategy ETF
BJK,Vaneck Gaming ETF
BKCH,GX Blockchain ETF
BKIV,BNY Mellon Innovators ETF
BKWO,BNY Mellon Women's Opportunities ETF
BLCN,Siren Nasdaq Nexgen Economy ETF
BLCR,Blackrock Large Cap Core ETF
BLLD,JPM Sustainable Infrastructure ETF
BMDL,Victoryshares Westend Economic Cycle Bond ETF
BND,Total Bond Market ETF Vanguard
BNDW,Total World Bond Vanguard ETF
BNDX,Total Intl Bond ETF Vanguard
BOTT,Themes Robotics & Automation ETF
BOTZ,GX Robotics & Artificial Intelligence ETF
BRHY,Blackrock High Yield ETF
BRNY,Burney U.S. Factor Rotation ETF
BRTR,Blackrock Total Return ETF
BSCO,Bs 2024 Corp Bond Invesco ETF
BSCP,Bs 2025 Corp Bond Invesco ETF
BSCQ,Bs 2026 Corp Bond Invesco ETF
BSCR,Bs 2027 Corp Bond Invesco ETF
BSCS,Bs 2028 Corp Bond Invesco ETF
BSCT,Bs 2029 Corp Bond Invesco ETF
BSCU,Bs 2030 Corp Bond Invesco ETF
BSCV,Invesco Bulletshares 2031 Corporate Bond ETF
BSCW,Invesco Bulletshares 2032 Corp Bond ETF
BSCX,Invesco Bulletshares 2033 Corporate Bond ETF
BSCY,Invesco Bulletshares 2034 Corporate Bond ETF
BSJO,Bs 2024 High Yield Corp Bond ETF
BSJP,Bs 2025 High Yield Corp Bond ETF
BSJQ,Bs 2026 High Yield Corp Bond ETF
BSJR,Bs 2027 High Yield Corp Bond ETF
BSJS,Bs 2028 High Yield Corp Bond ETF
BSJT,Bs 2029 High Yield Corp Bond ETF
BSJU,Bs 2030 High Yield Corp Bond ETF
BSMO,Bs 2024 Municipal Bond ETF
BSMP,Bs 2025 Municipal Bond ETF
BSMQ,Bs 2026 Municipal Bond ETF
BSMR,Bs 2027 Municipal Bond ETF
BSMS,Bs 2028 Municipal Bond ETF
BSMT,Bs 2029 Municipal Bond ETF
BSMU,Bs 2030 Municipal Bond ETF
BSMV,Bs 2031 Municipal Bond ETF
BSMW,Invesco Bulletshares 2032 Municipal Bond ETF
BSMY,Invesco Bulletshares 2034 Municipal Bond ETF
BSSX,Invesco Bulletshares 2033 Municipal Bond ETF
BSVO,Ea Bridgeway Omni Small-Cap Value ETF
BTF,Valkyrie Bitcoin Strategy ETF
BTFX,Valkyrie Bitcoin Futures Leveraged Strategy ETF
BTGD,Stkd Bitcoin & Gold ETF
BUFC,Ab Conservative Buffer ETF
BUG,GX Cybersecurity ETF
BULD,Pacer Bluestar Engineering The Future ETF
CA,Xtrackers California Municipal Bonds ETF
CAFG,Pacer US Smallcap Cash Cows Growth Leaders ETF
CALI,Ishares Short-Term California Muni Active ETF
CANC,Tema Oncology ETF
CANQ,Calamos Alternative Nasdaq & Bond ETF
CATH,GX S&P 500 Catholic Values ETF
CCNR,Corecommodity Natural Resources ETF
CCSB,Carbon Collective Short Duration Green Bond ETF
CCSO,Climate Solutions U.S. Equity ETF
CDC,Victory US Eqty Income Ehnd Vol Wtd ETF
CDL,Victory US Largecap HI Div Vol Wtd ETF
CEFA,GX S&P Catholic Values Devd Ex-U.S. ETF
CFA,Victory US 500 Vol ETF
CFO,Victory US 500 Ehnd Vol Wtd ETF
CHPS,Xt Semiconductor Select Equity ETF
CIBR,Nasdaq Cybersecurity ETF
CIL,Victory Intl Vol Wtd ETF
CLOA,Blackrock AAA Clo ETF
CLOD,Themes Cloud Computing ETF
CLOU,GX Cloud Computing ETF
CLSM,Cabana Target Leading Sector Moderate ETF
COMT,Commodities Select Strategy Ishares ETF
CONI,Graniteshares 1X Short Coin Daily ETF
CONL,Graniteshares 2X Long Coin Daily ETF
COPJ,Sprott Junior Copper Miners ETF
COPP,Sprott Copper Miners ETF
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF
COWS,Amplify Cash Flow Dividend Leaders ETF
CPLS,Ab Core Plus Bond ETF
CRWL,Graniteshares 2X Long Crwd Daily ETF
CSA,Victory US Smallcap Vol Wtd ETF
CSB,Victory US Smallcap HI Div Vol Wtd ETF
CSF,Victory US Disc Enhd Vol Wtd ETF
CTEC,GX Cleantech ETF
CZAR,Themes Natural Monopoly ETF
DALI,FT Dorseywright Dali 1 ETF
DAPP,Vaneck Digital Transformation ETF
DAX,GX DAX Germany ETF
DCAP,Unity Wealth Capital Appreciation & Options ETF
DDIV,FT High Income ETF
DECO,SPDR Galaxy Digital Asset Ecosystem ETF
DEMZ,Demz Political Contributions ETF
DFGP,Dimensional Global Core Plus Fixed Income ETF
DFGX,Dimensional Global Ex US Core Fixed Income ETF
DGCB,Dimensional Global Credit ETF
DIVD,Altrius Global Dividend ETF
DMAT,GX Disruptive Materials ETF
DMXF,Ishares ESG Advanced MSCI EAFE ETF
DRIV,GX Autonomous & Electric Vehicles ETF
DTCR,GX Data Center Reits & Digital Infr ETF
DUKH,Ocean Park High Income ETF
DUKX,Ocean Park International ETF
DVAL,Brandywineglobal Dynamic US Large Cap Value ETF
DVLU,FT Momentum & Value ETF
DVOL,FT Momentum & Low Volatility ETF
DVY,Select Dividend Ishares ETF
DWAS,DWA Smallcap Momentum Invesco ETF
DWAW,Advisorshares Fsm All Cap World ETF
DWSH,Advisorshares D.W. Short -1X ETF
DWUS,Advisorshares Dorsey Wright Fsm US Core ETF
DYFI,Idx Dynamic Fixed Income ETF
DYNI,Idx Dynamic Innovation ETF
DYTA,Sgi Dynamic Tactical ETF
EBIZ,GX E-Commerce ETF
ECOW,Pacer Emerging Markets Cash Cows 100 ETF
EDOC,GX Telemedicine & Digital Health ETF
EEMA,Emrg Mkts Asia Ishares MSCI ETF
EFAS,GX MSCI Superdividend EAFE ETF
EFRA,Ishares Environmental Infra and Industrials ETF
EHLS,Even Herd Long Short ETF
EKG,Nasdaq Lux Digital Health Solutions ETF
EMB,USD Emrg Mkts Bond Ishares JPM ETF
EMEQ,Macquarie Focused Emerging Markets Equity ETF
EMIF,Emrg Mkts Infrastructure Ishares ETF
EMXC,Emrg Mkts Ex China Ishares MSCI ETF
EMXF,Ishares ESG Advanced MSCI EM ETF
ENZL,New Zealand Ishares MSCI ETF
EQRR,Equities For Rising Rates ETF
ERET,Ishares Environmentally Aware Real Estate ETF
ERNZ,Trueshares Active Yield ETF
ESGD,EAFE ESG Optimized Ishares MSCI ETF
ESGE,Emrg Mkts ESG Optimized Ishares MSCI ETF
ESGU,USA ESG Optimized Ishares MSCI ETF
ESMV,Ishares ESG MSCI USA Min Vol Factor ETF
ESN,Essential 40 Stock ETF
ESPO,Vaneck Video Gaming and Esports ETF
ETEC,Ishares Breakthrough Environmental Solutions ETF
ETHA,Ishares Ethereum Trust ETF
EUFN,Europe Financials Ishares MSCI ETF
EVSD,Eaton Vance Short Duration Income ETF
EWJV,Ishares MSCI Japan Value ETF
EWZS,Brazil Smallcap Ishares MSCI ETF
EYEG,Ab Corporate Bond ETF
FAAR,Alternative Absolute Return Strategy ETF FT
FALN,US Fallen Angels Ishares ETF
FBL,Graniteshares 2X Long Meta Daily ETF
FBOT,Fidelity Disruptive Automation ETF
FCAL,California Municipal High Income ETF FT
FCEF,CEF Income Opportunity ETF FT
FCTE,Smi 3Fourteen Full-Cycle Trend ETF
FCVT,Ssi Strategic Convertible Securities ETF FT
FDCF,Fidelity Disruptive Communications ETF
FDFF,Fidelity Disruptive Finance ETF
FDIF,Fidelity Disruptors ETF
FDIG,Fidelity Crypto Industry Digital Payments ETF
FDIV,Marketdesk Focused U.S. Dividend ETF
FDNI,FT DJ International Internet ETF
FDTX,Fidelity Disruptive Technology ETF
FEMB,Emrg Mkts Local Currency Bond ETF FT
FEPI,Rex Fang & Innovation Equity Premium Income ETF
FICS,FT Intl Developed Capital Strength ETF
FID,FT S&P Intl Dividend Aristocrats ETF
FINE,Themes European Luxury ETF
FINX,GX Fintech ETF
FIXD,Tcw Opportunistic Fixed Income ETF FT
FLDB,Fidelity Low Duration Bond ETF
FMB,Managed Municipal ETF FT
FMED,Fidelity Disruptive Medicine ETF
FMET,Fidelity Metaverse ETF
FMHI,FT Municipal High Income ETF
FPXE,FT Ipox Europe Equity Opportunities ETF
FPXI,FT Intl Equity Opportunities ETF
FSCS,Midcap US Equity Select ETF FT
FTAG,Indxx Global Agriculture ETF FT
FTCS,Capital Strength ETF FT
FTDS,Dividend Strength ETF FT
FTGS,FT Growth Strength ETF
FTHI,High Income ETF FT
FTQI,Low Beta Income ETF FT
FTRI,Indxx Global Natural Resources Income ETF FT
FTSL,Senior Loan ETF FT
FTSM,Enhanced Short Maturity ETF FT
FTXG,Nasdaq Food & Beverage ETF
FTXH,Nasdaq Pharmaceuticals ETF
FTXL,Nasdaq Semiconductor ETF
FTXN,Nasdaq Oil & Gas ETF
FTXO,Nasdaq Bank ETF
FTXR,Nasdaq Transportation ETF
FV,Dorsey Wright Focus 5 ETF FT
FVC,Dorsey Wright Dynamic Focus 5 ETF FT
GFGF,Guru Favorite Stocks ETF
GGLL,Googl Bull 2X ETF Direxion
GGLS,Googl Bear -1X ETF Direxion
GINX,Sgi Enhanced Global Income ETF
GLOW,Victoryshares Westend Global Equity ETF
GNMA,GNMA Bond Ishares ETF
GNOM,GX Genomics & Biotechnology ETF
GOVI,Invesco Equal Weight 0-30 Year Treasury ETF
GPIQ,GS Nasdaq-100 Core Premium Income ETF
GPIX,GS S&P 500 Core Premium Income ETF
GQQQ,Astoria US Quality Growth Kings ETF
GRID,Nasdaq Smart Grid Infrastructure ETF
GSIB,Themes Global Systemically Important Banks ETF
GXTG,GX Thematic Growth ETF
HCOW,Amplify Cash Flow High Income ETF
HECO,SPDR Galaxy Hedged Digital Asset Ecosystem ETF
HEJD,Victoryshares Hedged Equity Income ETF
HERD,Pacer Cash Cows Fund of Funds ETF
HERO,GX Video Games & Esports ETF
HFSP,Tradersai Large Cap Equity & Cash ETF
HIDE,Ea Architect High Inflation and Deflation ETF
HISF,Strategic Income ETF FT
HLAL,Wahed FTSE USA Shariah ETF
HNDL,Strategy Shares Nasdaq 7Handl ETF
HQGO,Hartford US Quality Growth ETF
HRTS,Tema Cardiovascular and Metabolic ETF
HWAY,Themes US Infrastructure ETF
HYBI,Neos Enhanced Income Credit Select ETF
HYDR,GX Hydrogen ETF
HYLS,Tactical High Yield ETF FT
IBAT,Ishares Energy Storage & Materials ETF
IBB,Nasdaq Biotechnology Ishares ETF
IBBQ,Invesco Nasdaq Biotechnology ETF
IBGA,Ibonds Dec 2044 Term Treasury ETF
IBGK,Ibonds Dec 2054 Term Treasury ETF
IBIT,Ishares Bitcoin Trust ETF
IBOT,Vaneck Robotics ETF
IBTE,Ishares Ibonds Dec 2024 Term Treasury ETF
IBTF,Ishares Ibonds Dec 2025 Term Treasury ETF
IBTG,Ishares Ibonds Dec 2026 Term Treasury ETF
IBTH,Ishares Ibonds Dec 2027 Term Treasury ETF
IBTI,Ishares Ibonds Dec 2028 Term Treasury ETF
IBTJ,Ishares Ibonds Dec 2029 Term Treasury ETF
IBTK,Ishares Ibonds Dec 2030 Term Treasury ETF
IBTL,Ishares Ibonds Dec 2031 Term Treasury ETF
IBTM,Ishares Ibonds Dec 2032 Term Treasury ETF
IBTO,Ishares Ibonds Dec 2033 Term Treasury ETF
IBTP,Ibonds Dec 2034 Term Treasury ETF
ICLN,Global Clean Energy Ishares ETF
ICOP,Ishares Copper and Metals Mining ETF
IEF,7-10 Year Treasury Bond Ishares ETF
IEI,3-7 Year Treas Bond Ishares ETF
IEUS,Europe Smallcap Ishares MSCI ETF
IFGL,Intl Developed Real Estate Ishares ETF
IFV,Dorsey Wright Intl Focus 5 ETF FT
IGF,Global Infrastructure Ishares ETF
IGIB,Interm Term Corp Bond Ishares ETF
IGOV,Intl Treasury Bond Ishares ETF
IGSB,Short-Term Corp Bond Ishares ETF
IHYF,Invesco High Yield Bond Factor ETF
IJT,S&P Smallcap 600 Growth Ishares ETF
ILIT,Ishares Lithium Miners and Producers ETF
IMCV,Mstar Midcap Value Ishares ETF
IMOM,Intl Quantitative Momentum ETF
INDY,India 50 Ishares ETF
INFR,Clearbridge Sustainable Infrastructure ETF
INRO,Blackrock U.S. Industry Rotation ETF
IPKW,Intl Buyback Achievers Invesco ETF
IQQQ,Proshares Nasdaq-100 High Income ETF
ISHG,1-3 Year Intl Treas Bond Ishares ETF
ISHP,S-Network E-Sommerce ETF FT
ISTB,1-5 Year USD Bond Ishares Core ETF
IUS,Invesco Strategic US ETF
IUSB,USD Bond Market Total Ishares Core ETF
IUSG,S&P US Growth Ishares Core ETF
IUSV,S&P US Value Ishares Core ETF
IVAL,Intl Quantitative Valueshares ETF
IVEG,Ishares Emergent Food and Agtech Multisector ETF
IWTR,Ishares MSCI Water Management Multisector ETF
IXUS,Total Intl Stock Ishares Core MSCI ETF
JDOC,Jpmorgan Healthcare Leaders ETF
JEPQ,JPM Nasdaq Equity Premium Income ETF
JGLO,Jpmorgan Global Select Equity ETF
JIVE,Jpmorgan International Value ETF
JMID,Janus Henderson Mid Cap Growth Alpha ETF
JPEF,Jpmorgan Equity Focus ETF
JSMD,Janus Small/Midcap Growth ETF
JSML,Janus Smallcap Growth ETF
JTEK,JPM U.S. Tech Leaders ETF
KBWB,KBW Bank Invesco ETF
KBWD,KBW High Dividend Yield Financial Invesco ETF
KBWP,KBW Property & Casualty Insurance Invesco ETF
KBWR,KBW Regional Banking Invesco ETF
