Symbol,Description
KBWY,KBW Premium Yield Equity REIT Invesco ETF
KEAT,Keating Active ETF
KQQQ,Kurv Technology Titans Select ETF
KRMA,GX Conscious Companies ETF
KROP,GX Agtech & Food Innovation ETF
LCDS,Jpmorgan Fundamental Data Science Large Core ETF
LDEM,Ishares ESG MSCI EM Leaders ETF
LDSF,FT Low Duration Strategic Focus ETF
LEGR,FT Indxx Innovative Transaction & Process ETF
LFSC,F/M Emerald Life Sciences Innovation ETF
LGRO,Level Four Large Cap Growth Active ETF
LITP,Sprott Lithium Miners ETF
LIVR,Intelligent Livermore ETF
LMBS,Low Duration Opportunities ETF FT
LRGE,Legg Clearbridge Large Cap Groowth ETF
LRND,Nyli U.S. Large Cap R&D Leaders ETF
LVHD,Legg Low Vol HI Div ETF
MAGQ,Roundhill Inverse Magnificent Seven ETF
MAGS,The Magnificent Seven ETF
MAGX,Roundhill 2X Long Magnificent Seven ETF
MAXI,Simplify Bitcoin Strategy Plus Income ETF
MBB,MBS Ishares ETF
MCDS,Jpmorgan Fundamental Data Science Mid Core ETF
MCHI,China Ishares MSCI ETF
MCHS,Matthews China Discovery Active ETF
MCSE,Martin Sustainable International Equity ETF
MDCP,Victory Thb Mid Cap ESG ETF
MEDX,Horizon Kinetics Medical ETF
MEMS,Matthews Emerging Markets Discovery Active ETF
METD,Meta Bear -1X ETF Direxion
METU,Meta Bull 2X ETF Direxion
MFLX,Municipal CEF Income Opportunity ETF FT
MILN,GX Millennial Consumer ETF
MKAM,Mkam ETF
MNTL,Tema Neuroscience and Mental Health ETF
MODL,Victory Westend U.S. Sector ETF
MOOD,Alpha Architect Relative Sentiment ETF
MQQQ,Tradr 2X Long Triple Q Monthly ETF
MSFD,Msft Bear -1X ETF Direxion
MSFL,Graniteshares 2X Long Msft Daily ETF
MSFU,Msft Bull 2X ETF Direxion
MSTX,Defiance Daily Target 1.75X Long Mstr ETF
MUD,Mu Bear -1X ETF Direxion
MULL,Graniteshares 2X Long Mu Daily ETF
MUU,Mu Bull 2X ETF Direxion
MYCF,SPDR SSGA My2026 Corporate Bond ETF
MYCG,SPDR SSGA My2027 Corporate Bond ETF
MYCH,SPDR SSGA My2028 Corporate Bond ETF
MYCI,SPDR SSGA My2029 Corporate Bond ETF
MYCJ,SPDR SSGA My2030 Corporate Bond ETF
MYCK,SPDR SSGA My2031 Corporate Bond ETF
MYCL,SPDR SSGA My2032 Corporate Bond ETF
MYCM,SPDR SSGA My2033 Corporate Bond ETF
MYCN,SPDR SSGA My2034 Corporate Bond ETF
MYMF,SPDR SSGA My2026 Municipal Bond ETF
MYMG,SPDR SSGA My2027 Municipal Bond ETF
MYMH,SPDR SSGA My2028 Municipal Bond ETF
MYMI,SPDR SSGA My2029 Municipal Bond ETF
MYMJ,SPDR SSGA My2030 Municipal Bond ETF
NATO,Themes Transatlantic Defense ETF
NCPB,Nuveen Core Plus Bond ETF
NDAA,Ned Davis Research 360 Dynamic Allocation ETF
NERD,Roundhill Esports & Digital Entertainment ETF
NEWZ,Stocksnips Ai-Powered Sentiment US All Cap ETF
NFTY,FT India Nifty 50 EW ETF
NFXL,Nflx Bull 2X ETF Direxion
NFXS,Nflx Bear -1X ETF Direxion
NIKL,Sprott Nickel Miners ETF
NIXT,Research Affiliates Deletions ETF
NPFI,Nuveen Preferred and Income ETF
NRES,Xtrackers Rreef Global Natural Resources ETF
NSCR,Nuveen Sustainable Core ETF
NSI,National Security Emerging Markets Index ETF
NUSB,Nuveen Ultra Short Income ETF
NVD,Graniteshares 2X Short Nvda Daily ETF
NVDD,Nvda Bear -1X ETF Direxion
NVDL,Graniteshares 2X Long Nvda Daily ETF
NVDS,Tradr 1.5X Short Nvda Daily ETF
NVDU,Nvda Bull 2X ETF Direxion
NVDW,Tradr 1.75X Long Nvda Weekly ETF
NZAC,SPDR MSCI ACWI Climate Paris Aligned ETF
NZUS,SPDR MSCI USA Climate Paris Aligned ETF
OBIL,US Treasury 12 Month Bill ETF
OCTA,Octane All-Cap Value Energy ETF
ODDS,Pacer Bluestar Digital Entertainment ETF
ONEQ,Nasdaq Composite ETF
OPTZ,Optimize Strategy Index ETF
OZEM,Roundhill Glp-1 & Weight Loss ETF
PABU,Ishares Paris-Aligned Climate MSCI USA ETF
PATN,Patent Leaders ETF
PDBA,Invesco Agriculture Commodity K-1 ETF
PDP,DWA Momentum Invesco ETF
PEPS,Parametric Equity Plus ETF
PEY,High Yield Equity Dividend Achievers Invesco ETF
PEZ,DWA Consumer Cyclicals Momentum Invesco ETF
PFF,US Preferred Stock Ishares ETF
PFI,DWA Financial Momentum Invesco ETF
PFM,Dividend Achievers Invesco ETF
PGJ,Golden Dragon China Invesco ETF
PHO,Water Resources Invesco ETF
PID,Intl Dividend Achievers Invesco ETF
PIE,DWA Emerging Markets Momentum Invesco ETF
PIO,Global Water Invesco ETF
PIZ,DWA Developed Markets Momentum Invesco ETF
PKW,Buyback Achievers Invesco ETF
PMBS,Pimco Mortgage-Backed Securities Active ETF
PNQI,Nasdaq Internet Invesco ETF
PPH,Vaneck Pharmaceutical ETF
PPI,Axs Astoria Inflation Sensitive ETF
PRFZ,FTSE RAFI US 1500 Small/Mid Invesco ETF
PRN,DWA Industrials Momentum Invesco ETF
PSCC,S&P Smallcap Consumer Staples Invesco ETF
PSCD,S&P Smallcap Consumer Discretionary Invesco ETF
PSCE,S&P Smallcap Energy Invesco ETF
PSCF,S&P Smallcap Financials Invesco ETF
PSCH,S&P Smallcap Health Care Invesco ETF
PSCI,S&P Smallcap Industrials Invesco ETF
PSCM,S&P Smallcap Materials Invesco ETF
PSCT,S&P Smallcap Information Technology Invesco ETF
PSCU,S&P Smallcap Utilities Invesco ETF
PSET,Principal Price Setters ETF
PSL,DWA Consumer Staples Momentum Invesco ETF
PSTR,Peakshares Sector Rotation ETF
PSWD,Xt Cybersecurity Select Equity ETF
PTEC,GX Proptech ETF
PTF,DWA Technology Momentum Invesco ETF
PTH,DWA Healthcare Momentum Invesco ETF
PTIR,Graniteshares 2X Long Pltr Daily ETF
PTNQ,Pacer Trendpilot 100 ETF
PUI,DWA Utilities Momentum Invesco ETF
PXI,DWA Energy Momentum Invesco ETF
PY,Principal Shareholders Yield ETF
PYZ,DWA Basic Materials Momentum Invesco ETF
QAT,Qatar Ishares MSCI ETF
QBUF,Innovator Nasdaq-100 10 Buffer ETF Quarterly
QCLN,Nasdaq Green Energy Index ETF
QCLR,GX Nasdaq 100 Collar 95-110 ETF
QHDG,Innovator Hedged Nasdaq-100 ETF
QMOM,Quantitative Momentum ETF
QNXT,Ishares Nasdaq-100 Ex Top 30 ETF
QOWZ,Invesco Nasdaq Free Cash Flow Achievers ETF
QQA,Invesco QQQ Income Advantage ETF
QQJG,Invesco ESG Nasdaq Next Gen 100 ETF
QQMG,Invesco ESG Nasdaq 100 ETF
QQQ,Nasdaq QQQ Invesco ETF
QQQA,Nasdaq 100 Dorsey Wright Momentum ETF
QQQE,Nasdaq-100 Equal Weighted Index ETF Direxion
QQQG,Nasdaq 100 Top 50 Cash Cows Growth Leaders ETF
QQQI,Neos Nasdaq 100 High Income ETF
QQQJ,Invesco Nasdaq Next Gen 100 ETF
QQQM,Invesco Nasdaq 100 ETF
QQQP,Tradr 2X Long Triple Q Quarterly ETF
QQQS,Invesco Nasdaq Future Gen 200 ETF
QQQT,Defiance Nasdaq 100 Income Target ETF
QQQW,Tradr 2X Long Triple Q Weekly ETF
QQQY,Defiance Nasdaq 100 Enhanced Options Income ETF
QQXT,Nasdaq 100 Ex-Tech Sector Indexsm ETF
QRMI,GX Nasdaq 100 Risk Managed Income ETF
QSIX,Pacer Nasdaq 100 Dividend Multiplier 600 ETF
QTOP,Ishares Nasdaq Top 30 Stocks ETF
QTR,GX Nasdaq 100 Tail Risk ETF
QTUM,Defiance Quantum ETF
QVAL,US Quantitative Valueshares ETF
QXQ,Sgi Enhanced Nasdaq-100 ETF
QYLD,GX Nasdaq-100 Covered Call ETF
QYLE,GX Nasdaq 100 ESG Covered Call ETF
QYLG,GX Nasdaq 100 Covered Call & Growth ETF
RAYS,GX Solar ETF
RDVY,Rising Dividend Achievers ETF FT
REAI,Private Real Estate Via Liquid Reits ETF
REIT,Alps Active REIT ETF
RFDI,Riverfront Dyn Developed Intl ETF FT
RFEM,Riverfront Dyn Emerging Markets ETF FT
RFEU,Riverfront Dyn Europe ETF FT
RING,Ishares Global Gold Miners ETF
RNEM,Emrg Mkts Equity Select ETF FT
RNEW,Vaneck Green Infrastructure ETF
RNRG,GX Renewable Energy Producers ETF
RNSC,Smallcap US Equity Select ETF FT
ROBT,Artificial Intelligence and Robotics ETF FT
ROE,Astoria US Quality Kings ETF
RTH,Vaneck Retail ETF
RUNN,Running Oak Efficient Growth ETF
SARK,Tradr 2X Short Innovation Daily ETF
SCDS,Jpmorgan Fundamental Data Science Small Core ETF
SCZ,EAFE Smallcap Ishares MSCI ETF
SDG,Ishares Global Sustainable Goals ETF
SDSI,American Century Short-Duration Strategic ETF
SDVY,FT Smid Cap Rising Dividend Achievers ETF
SEEM,Sei Select Emerging Markets Equity ETF
SEIE,Sei Select International Equity ETF
SEIS,Sei Select Small Cap ETF
SETM,Sprott Energy Transition Materials ETF
SFLO,Victoryshares Small Cap Free Cash Flow ETF
SHRY,Largecap US Equity Select ETF FT
SHV,Short Treasury Bond Ishares ETF
SHY,1-3 Year Treasury Bond Ishares ETF
SIXG,Defiance Next Gen Connectivity ETF
SJCP,Sanjac Alpha Core Plus Bond ETF
SJLD,Sanjac Alpha Low Duration ETF
SKYU,Ultra Nasdaq Cloud Computing 2X ETF
SKYY,Cloud Computing ETF FT
SLQD,0-5 Year Invst Grade Corp Bond Ishares ETF
SMCF,Themes US Small Cap Cash Flow Champions ETF
SMCO,Hilton Small-Midcap Opportunity ETF
SMCP,Alphamark Actmg Smallcap ETF
SMCX,Defiance Daily Target 2X Long Smci ETF
SMH,Vaneck Semiconductor ETF
SMHX,Vaneck Fabless Semiconductor ETF
SMRI,Bushido Capital US Equity ETF
SMST,Defiance Daily Target 1.5X Short Mstr ETF
SNSR,GX Internet of Things ETF
SOCL,GX Social Media ETF
SOXM,Tradr 2X Long Soxx Monthly ETF
SOXQ,Invesco PHLX Semiconductor ETF
SOXW,Tradr 2X Long Soxx Weekly ETF
SOXX,Semiconductor Ishares ETF
SPAM,Themes Cybersecurity ETF
SPAQ,Horizon Kinetics Spac Active ETF
SPBC,Simplify U.S. Equity Plus Gbtc ETF
SPC,Crossingbridge Pre-Merger Spac ETF
SPCX,The Spac and New Issue ETF
SPRX,Spear Alpha ETF
SPYB,Tradr 2X Long Spy Weekly ETF
SPYM,Tradr 2X Long Spy Monthly ETF
SPYQ,Tradr 2X Long Spy Quarterly ETF
SQLV,Legg Smallcap Quality Value ETF
SQQQ,Ultrapro Short QQQ -3X ETF
SRET,GX Superdividend REIT ETF
STSB,Stance Sustainable Beta ETF
SUSB,1-5 Year USD Corp Bond Ishares ESG ETF
SUSC,USD Corp Bond Ishares ESG ETF
SUSL,Ishares ESG MSCI USA Leaders ETF
SWP,Swp Growth & Income ETF
TARK,Tradr 2X Long Innovation ETF
TAXE,Intermediate Municipal Income ETF
TBIL,US Treasury 3 Month Bill ETF
TCHI,Ishares MSCI China Multisector Tech ETF
TDI,Touchstone Dynamic International ETF
TDIV,Nasdaq Technology Dividend Index ETF
TDSB,Cabana Target Drawdown 7 ETF
TDSC,Cabana Target Drawdown 10 ETF
TEKX,SPDR Galaxy Transformative Tech Accelerators ETF
TLT,20+ Year Treas Bond Ishares ETF
TLTM,Tradr 2X Long Tlt Monthly ETF
TLTQ,Tradr 1.75X Long Tlt Quarterly ETF
TMET,Ishares Transition-Enabling Metals ETF
TQQQ,Ultrapro QQQ 3X ETF
TSDD,Graniteshares 2X Short Tsla Daily ETF
TSL,Graniteshares 1.25X Long Tsla Daily ETF
TSLL,Tsla Bull 2X ETF Direxion
TSLQ,Tradr 2X Short Tsla Daily ETF
TSLR,Graniteshares 2X Long Tsla Daily ETF
TSLS,Tsla Bear -1X ETF Direxion
TSLT,T-Rex 2X Long Tesla Daily Target ETF
TSLW,Tradr 1.5X Long Tsla Weekly ETF
TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF
TSMU,Graniteshares 2X Long Tsm Daily ETF
TSMX,Tsm Bull 2X ETF Direxion
TSMZ,Tsm Bear -1X ETF Direxion
TSPY,Tappalpha Spy Growth & Daily Income ETF
TTEQ,T. Rowe Price Technology ETF
TUG,Stf Tactical Growth ETF
TUGN,Stf Tactical Growth & Income ETF
TUR,Turkey Ishares MSCI ETF
TXSS,Texas Small Cap Equity Index ETF
UAE,UAE Ishares MSCI ETF
UBND,Victory ESG Core Plus Bond ETF
UBRL,Graniteshares 2X Long Uber Daily ETF
UCRD,Victory ESG Corporate Bond ETF
UCYB,Ultra Nasdaq Cybersecurity 2X ETF
UEVM,USAA MSCI EM Value Momentum Blend Index ETF
UFIV,US Treasury 5 Year Note ETF
UFO,Procure Space ETF
UITB,USAA Core Intermediate-Term Bond ETF
UIVM,USAA MSCI Intl Value Momentum Blend Index ETF
ULVM,USAA MSCI USA Value Momentum Blend Index ETF
UMMA,Wahed Dow Jones Islamic World ETF
UPGR,Xt US Green Infrastructure Equity ETF
URNJ,Sprott Junior Uranium Miners ETF
USCF,Themes US Cash Flow Champions ETF
USDX,Sgi Enhanced Core ETF
USFI,Brandywineglobal U.S. Fixed Income ETF
USIG,Broad USD Investment Gr. Corp Bond Ishares ETF
USMC,Principal U.S. Mega-Cap ETF
USOY,Defiance Oil Enhanced Options Income ETF
USRD,Themes US R&D Champions ETF
USTB,USAA Core Short-Term Bond ETF
USVM,USAA MSCI USA Small Cap Value Mom Blend ETF
USVN,US Treasury 7 Year Note ETF
USXF,Ishares ESG Advanced MSCI USA ETF
UTEN,US Treasury 10 Year Note ETF
UTHY,US Treasury 30 Year Bond ETF
UTRE,US Treasury 3 Year Note ETF
UTWO,US Treasury 2 Year Note ETF
UTWY,US Treasury 20 Year Bond ETF
VCRB,Vanguard Core Bond ETF
VFLO,Victoryshares Free Cash Flow ETF
VGSR,Vert Global Sustainable Real Estate ETF
VIGI,Intl Div Appreciation ETF Vanguard
VMOT,Alpha Architect Value Momentum Trend ETF
VPLS,Vanguard Core Plus Bond ETF
VRIG,Variable Rate Investment Grade Invesco ETF
VSDA,Victory Dividend Accelerator ETF
VSMV,Victory Portfolios II US Multi-Factor ETF
VTC,Total Corporate Bond Vanguard ETF
VXUS,Total Intl Stock ETF Vanguard
VYMI,Intl High Divd Yield ETF Vanguard
WABF,Western Asset Bond ETF
WBND,Western Asset Total Return ETF
WEEI,Westwood Salient Enhanced Energy Income ETF
WGMI,Valkyrie Bitcoin Miners ETF
WINC,Western Asset Short-Duration Income ETF
WISE,Themes Generative Artificial Intelligence ETF
WNDY,GX Wind Energy ETF
WOOD,Global Timber & Forestry Ishares ETF
WRND,Nyli Global Equity R&D Leaders ETF
XBIL,US Treasury 6 Month Bill ETF
XCNY,SPDR S&P Emerging Markets Ex-China ETF
XFIX,F/M Opportunistic Income ETF
XMAG,Defiance Large Cap Ex-Mag 7 ETF
XOVR,Ershares Private-Public Crossover ETF
XT,Exponential Technologies Ishares ETF
YLDE,Legg Clearbridge Dividend ESG ETF
YQQQ,Yieldmax Short N100 Option Income Strategy ETF
